陆家桥村,
金海公路99弄
奉浦大道95弄
资福村
灯塔村
油车弄74号
古华路288号
泰叶路159弄
金碧路1980弄
金星村
大叶公路6288弄
博丰路155弄
大叶公路6719弄
二桥村
庄良路218弄
西吴村
北宋村
港极路568号
光辉村
北塘村
新奉公路3663号
明星村
邮电路188号
邮电路118号
高桥村
青村东街76弄
金齐路348弄
朱店村
大叶公路3988号
韩村路173弄
民乐路28弄
水闸路14弄
蔡家桥村
青村人民路445弄
奉城农商路16弄
渔沥村
闸园路138号
塘外文化小区
朱家港村
张云村
长堤村
沪杭公路66弄
南行村
陈桥村
头桥西街44弄
青伟路111号
湾张村
福光路160弄
梅园村
周家村
梁典村
国顺路318弄
八字桥路288弄
韩村路143弄
航南公路2880号
陈桥路2418号
农民街505弄
