邮电路188号
南渡村
海光路168弄
张弄村
八字桥路158弄
扶港路388弄
大叶公路6288弄
大门村
湖堤路199弄
八字桥路599弄
韩村路173弄
东新市村
扶港路629弄
北宋村
清宁路488弄
朱店村
洪西村
吴塘路527弄
沪杭公路303弄
万顺路2088弄
四团东海路106号
解放西路538号
南陈村
沪杭公路66弄
浦秀村
明星村
红庄村
平海村
育秀九区
泰叶路159弄
环城东路562号
正旭路1058号
南街村
金汇村
沪杭公路397弄
国顺路369弄
环城东路885弄
泰青公路119弄128支弄
发展村
冯家村
西闸公路1678弄
新四平公路468弄
青伟路111号
沪杭公路967弄
高桥村
金齐路348弄
奉城村北街52弄
肖南路68弄
金碧路1980弄
肖塘路146弄
港极路568弄
汇安村
湖堤路399弄
江海村
西闸公路1827号
奉浦大道95弄
清宁路359弄
博丰路158弄
新寺村
新粮路755弄
明城路1088弄
卫季村
金港村
星中路131号
望园路1526号
永南路1688号
庄北路
鸿乐路155弄
大宅小区
星火19连
蔡家桥村
新叶村
