西闸路75号
九华路1338弄
吴塘路899弄
洪庙路126弄
古华路272弄
邮电路268弄
新四平公路468弄
大叶公路6288弄
沪杭公路66弄
南行村
吴塘路799弄
梁典村
定康路205弄
国顺路318弄
环城南路1065弄
南奉公路8889弄
沪杭公路967弄
大叶公路6720号
航南公路1981弄
百富路388弄
南奉公路255号
金碧路1980弄
安居路58弄
南街村
川南奉公路8029号
金钱公路399号
平福路1210弄
江海二村
柘林村
南奉公路142号
三团港村
团汇公路258弄
杨通路424号
港极路568号
肖塘路146弄
万顺路2476弄
正旭路1058号
南奉公路999号
新粮路755弄
吴塘路457弄
八字桥路288弄
明星村
南胜村
奉陆路1198号
陆家桥村
花厅村
北宋村
长堰村
四团村
青宁路359弄
陈桥村
水闸路14弄
庙泾新村
韩村路173弄
朱家港村
青村人民路219弄
航南公路2880号
姚家村
新塘路198弄
民乐路88弄
朱店村
张弄村
金王村
解放村
运河北路1351弄
光明村
环城南路1309弄
申隆一村
金齐路188弄
六墩村
瓦洪公路3396号
运河北路1358弄
西吴村
吴塘路529弄（北区）
金港村
蔡家桥村
福光路160弄
护民村
朱墩村
湾张村
岳和村
金海公路2898弄
青伟路111号
拾村村
梅园村
国顺路369弄
平海村
正博路1881号
南渡村
金齐路348弄
泰青公路619弄
西校村
灯民村
高桥村
北虹路67号
团南村
振泰路76弄
光辉村
龙尖村
冯家一支路18号
泰叶路159弄
东新市村
运河北路353号
三桥村
泽丰路88弄
泽丰路262弄
金海村
南宋村
金海公路99弄
灯塔村
幸福村
大宅小区
肖南路68弄
奉浦大道95弄
