陈桥路299号
大桥村
大叶公路2058弄
大叶公路6288弄
灯塔村
东新市村
奉城东街45弄
高桥村
国顺路218弄
海兴路479号
航南公路5388弄
沪杭公路113号
沪杭公路149弄
沪杭公路32弄
化工路62弄
环城南路1309弄
汇安村
江海村
解放东路599弄
金碧路1959弄
金汇村
聚秀路178弄
乐善村
明星村
南渡村
青村人民路219弄
三团港村
曙光村
泰叶路159弄
吴塘路527弄
肖塘路146弄
小荡村
耀光小区
永南路1688号
永欣新村
岳和村
运河北路1351弄
展园路303弄
正旭路1058号
周家村
朱店村
资福村
