环城南路1309弄
红庄村
资福村
环城南路1065弄
二桥村
金海公路2898弄
韩村路173弄
星中路131号
陶宅村
北宋村
平盛路10弄
益民村（西渡街道）
新四平公路468弄
西吴村
兰博路1801弄
护民村
青伟路111号
奉浦大道95弄
八字桥路288弄
育秀路438弄
万顺路2277弄
嘉园路1号
德政路298弄
曙光村
南胜村
大宅小区
岳和村
明星村
蔡家桥村
前胜村
江海新村
湖堤路199弄
广丰路100弄
肖塘路146弄
万顺路2968弄
万顺路2768弄
北新村
灯塔村
沪杭公路66弄
南渡村
鸿乐路155弄
沪杭公路397弄
西校村
燎北村
国顺路669弄
南十家村
北环路1288号
国顺路318弄
海滨二村
江海村
远东路733弄
新华小区
大叶公路6720号
梁典村
郭家村
六墩村
南奉公路255号
百曲村
洪西村
西门港一村
江海二村
青村人民路219弄
奉城村
朱新村
航南公路1981弄
正博路1881号
泰叶路159弄
灯民村
乐善村
万顺路2788弄
西闸路75号
扶港路425号
沪杭公路768号
东新市村
蔡建路1150号
