光辉村
青伟路111号
西吴村
和中村
姚家村
泰青公路619弄
湾张村
江南路151号
燎原三组
南陈村
新群路54弄
北塘村
南行村
朱店村
南奉公路3111弄
奉柘公路3288弄
工农村
贤政路333弄
振浦路106弄
解放村
金碧路1980弄
广福路29号
蔡桥村
明星村
北丁村
周家村
吴塘路529弄
港佳路515弄
军民村
博丰路158弄
文明街2号
杨溇村
浦秀村
农商路16弄
奉城村
路口村
肖塘路146号
金闸公路225弄
朱新村
南明路191号
南奉公路999号
大叶公路6719弄
梅园村
泰叶路159弄
大叶公路6288弄
环城东路885弄
江海二村
星火21连
长丰路176号
金齐路348弄
李窑村
民乐路28弄
新叶村
陆家桥村
高桥村
陆桥村
和平村
城乡东路5弄
西闸公路1678号
西校村
上塑路965弄
青工路588号
沪杭公路66弄
汇安小区
朱家港东村
国光村
五宅村
蔡家桥村
农民街505弄
大叶公路6712弄
广丰路100弄
航南公路2880号
金海公路2898弄
