安邬路188号
八字桥路218弄
八字桥路288弄
北丁村
北行路555弄
贝港南区
川南奉公路8060弄
定康路205弄
大桥村
大叶公路2058弄
大叶公路6712号
德丰路69弄
灯塔村
奉城东街45弄
奉粮路2号
奉云路899弄
富竹路39弄
港极路568弄
工业路1550号
光钱路510号
光钱路600弄
国顺路318弄
国顺路369弄
海旗路1518弄
海兴路1750号
洪西村
鸿乐路155弄
沪杭公路113号
沪杭公路149弄
沪杭公路32弄
沪杭公路768号
环城南路1309弄
汇安村
嘉园路1258号
江海村
金碧路1959弄
金港村
金汇村
六墩村
龙尖村
明星村
南渡村
南奉公路142号
南奉公路2729号
南奉公路4428号
平海村
清宁路359弄
三桥村
三团港村
陶宅村
湾张村
万顺路2475弄
万顺路2968弄
吴塘路527弄
吴塘路799弄
五宅村
西闸公路1678弄
肖塘路146弄
小荡村
新强村
新叶村
新张村
姚家村
耀光小区
永南路1688号
永欣新村
育秀八区
育秀路438弄
岳和村
运河北路1098弄
运河北路1351弄
张塘村
正嘉路299号
周家村
资福村
