解放二村
九华路908弄
八字桥路288弄
嘉园路361弄
金海公路99弄
八字桥路829弄
川南奉公路8029号
南奉公路142号
蔡家桥村
新奉公路2013号
墩头村
大宅小区
八字桥路158弄
环城东路885弄
泰青公路119弄
国顺路369弄
江海村
明星村
肖塘路146弄
大叶公路6288弄
富竹路39弄
八字桥路218弄
港极路568号
育秀路209号
航南公路5388弄
贤百路260弄
肖南路1268号
泰叶路159弄
环城西路3311号
周家村
西门港一村
工农村
汇安小区
万顺路2475弄
湾张村
联民村
朱店村
西吴村
沈陆村
德政路299弄
青村人民路445弄
振泰路76弄
梅园村
吴塘路799弄
东门村
国顺路318弄
北唐新苑
集贤村
育秀路1288弄
姚家村
沪杭公路113号
清宁路359弄
吴塘路527弄
陆家桥村
江海二村
万顺路2088弄
永欣新村
闸园路136号
正环路158弄
育秀九区
灯塔村
清宁路488弄
北宋村
定康路205弄
永南路1688号
南渡村
解放村
航南公路1981弄
金碧路1980弄
北唐村
西闸公路1827号
鸿乐路155弄
扶港路629弄
西闸公路1678号
北行路555号
立新路136弄
二桥村
育秀六区
航南公路2880号
张弄村
夏家村
镇西路1058号
百富路388弄
沪杭公路66弄
陶宅村
国顺路668弄
运河北路1351弄
六墩村
曙光村
